cell_type	contrast	pathway_name	pathway_source	tier	NES	pvalue	padj_bh	leading_edge_genes	leading_edge_size	n_set_genes	n_panel_genes	dataset
Adipocyte	MBRT_vs_SBRT	HALLMARK_ESTROGEN_RESPONSE_EARLY	MSigDB_Hallmark	exploratory	-1.25850638094861	0.18140243902439	0.545402298850575	Xbp1,Cxcl12,Ar,Ccnd1,Msmb,Areg,Krt18,Krt8	8	200	30	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_ESTROGEN_RESPONSE_LATE	MSigDB_Hallmark	exploratory	-1.20419437082424	0.209408194233687	0.545402298850575	Xbp1,Cxcl12,Top2a,Ccnd1,Fgfr3,Tnnc1,Areg	7	206	32	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_HYPOXIA	MSigDB_Hallmark	exploratory	1.16566239510363	0.209770114942529	0.545402298850575	Cdkn1a,Mt1,Cxcr4,Pgf,Mt2,Atf3,Dusp1,Ndrg1	8	200	39	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	1.23397684949938	0.146974063400576	0.545402298850575	Cdkn1a,Tnfsf9,Il1a,Atf3,Krt17,Ndrg1,Bax,Fas,Ddit3	9	199	38	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	1.25910453584539	0.209302325581395	0.545402298850575	Gcg,Iapp	2	40	4	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	-1.19419307660739	0.233856893542757	0.552752657464699	Ccnd1,Notch3,Fzd7,Notch1,Fzd5,Dll1,Jag1	7	32	12	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	1.17461210163962	0.22962962962963	0.552752657464699	Cdkn1a,Cxcr4	2	105	16	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	exploratory	-1.14697070821006	0.254428341384863	0.556574923547401	Mki67,Top2a,Stmn1,Nusap1,Ccnd1,Mapk14	6	198	22	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	exploratory	-1.16425923581091	0.256880733944954	0.556574923547401	Ldha,Ptges3,Pcna,Ppia,H2az1	5	201	9	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	-1.14159253222585	0.275229357798165	0.572477064220184	Sod1,Ica1,Dst,Krt18,Igf2r,Arf1	6	96	9	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	-1.07842112504534	0.370184254606365	0.620954233533258	Selenop,Lifr,Arid5b,Ccnd1,Krt8,Akt1,Myl12a,B2m	8	112	16	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	-1.06103770311558	0.369465648854962	0.620954233533258	Cd34,Mapk14,Mmp9,Myl9,Itga2,Vcam1,Actg2,Syk,Icam1,Pfn1,Cdh1,Vwf,Src,Pecam1,Itgb1,Rac2,Cldn4,Col16a1,Fyb,Ptprc,Vcan,Cdh11	22	199	38	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	exploratory	-1.08240447869118	0.363157894736842	0.620954233533258	Ldha,Lgals1,S100a10,H2az1,Hsp90aa1	5	157	10	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	exploratory	-1.12657209032958	0.328205128205128	0.620954233533258	Xbp1,Serpinh1,Ldha,Ldlr,Igfbp5	5	201	14	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	MSigDB_Hallmark	exploratory	-1.0956168502871	0.370093457943925	0.620954233533258	Xbp1,Vegfa,Hsp90b1	3	113	6	Mutter_02
Adipocyte	MBRT_vs_SBRT	TypeII_interferon	project	primary	-1.10508965793704	0.323135755258126	0.620954233533258	Cd74,Ciita,Cxcl10,H2-Ab1,H2-Eb1,Stat1,H2-Aa	7	17	8	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	exploratory	-1.07741014444216	0.387404580152672	0.629532442748092	Fes,Sod1	2	48	5	Mutter_02
Adipocyte	MBRT_vs_SBRT	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	-1.01450640613222	0.448613376835237	0.706905927134312	Col3a1,Lum,Fgfr1	3	36	19	Mutter_02
