sample_id	cell_type	n_cells	fraction	condition	timepoint_h	dataset	slide_id
sam0018	unassigned	5530	0.0634043431401775	Control	4	Mutter_02	sld0007
sam0018	SmoothMuscle	4198	0.0481322662753101	Control	4	Mutter_02	sld0007
sam0018	Macrophages	3647	0.041814763007636	Control	4	Mutter_02	sld0007
sam0018	Endothelial	1335	0.0153064734343828	Control	4	Mutter_02	sld0007
sam0018	Adipocyte	667	0.00764750395560549	Control	4	Mutter_02	sld0007
sam0018	ILC	303	0.00347405352106217	Control	4	Mutter_02	sld0007
sam0018	DC	84	0.000963103946433076	Control	4	Mutter_02	sld0007
sam0018	T cells	60	0.00068793139030934	Control	4	Mutter_02	sld0007
sam0018	NK cells	60	0.00068793139030934	Control	4	Mutter_02	sld0007
sam0018	Mast cells	23	0.000263707032951914	Control	4	Mutter_02	sld0007
sam0018	Plasma cells	18	0.000206379417092802	Control	4	Mutter_02	sld0007
sam0018	Neutrophils	6	6.8793139030934e-05	Control	4	Mutter_02	sld0007
sam0018	Epithelial cells	5	5.73276158591117e-05	Control	4	Mutter_02	sld0007
sam0019	Tumor	64227	0.575196353247777	MBRT_4h	4	Mutter_02	sld0007
sam0019	Fibroblast	23472	0.210207682180887	MBRT_4h	4	Mutter_02	sld0007
sam0019	SmoothMuscle	9218	0.0825534430105408	MBRT_4h	4	Mutter_02	sld0007
sam0019	unassigned	7087	0.0634688924512587	MBRT_4h	4	Mutter_02	sld0007
sam0019	Macrophages	4276	0.0382944806154342	MBRT_4h	4	Mutter_02	sld0007
sam0019	Adipocyte	1393	0.012475259938564	MBRT_4h	4	Mutter_02	sld0007
sam0019	Endothelial	1212	0.010854282157602	MBRT_4h	4	Mutter_02	sld0007
sam0019	ILC	358	0.00320613284853261	MBRT_4h	4	Mutter_02	sld0007
sam0019	NK cells	159	0.00142395285730918	MBRT_4h	4	Mutter_02	sld0007
sam0019	DC	121	0.00108363708009063	MBRT_4h	4	Mutter_02	sld0007
sam0019	T cells	74	0.000662720197741378	MBRT_4h	4	Mutter_02	sld0007
sam0019	Plasma cells	26	0.000232847637044268	MBRT_4h	4	Mutter_02	sld0007
sam0019	Mast cells	22	0.000197024923652842	MBRT_4h	4	Mutter_02	sld0007
sam0019	Epithelial cells	12	0.000107468140174277	MBRT_4h	4	Mutter_02	sld0007
sam0019	Neutrophils	4	3.58227133914258e-05	MBRT_4h	4	Mutter_02	sld0007
sam0020	Tumor	54214	0.555801603411864	SBRT_4h	4	Mutter_02	sld0007
sam0020	Fibroblast	20143	0.206505915400545	SBRT_4h	4	Mutter_02	sld0007
sam0020	Macrophages	8048	0.0825080478153001	SBRT_4h	4	Mutter_02	sld0007
sam0020	unassigned	7944	0.0814418404379652	SBRT_4h	4	Mutter_02	sld0007
sam0020	SmoothMuscle	3471	0.035584671218552	SBRT_4h	4	Mutter_02	sld0007
sam0020	Endothelial	1723	0.0176641856841156	SBRT_4h	4	Mutter_02	sld0007
sam0020	Adipocyte	1109	0.0113694613602346	SBRT_4h	4	Mutter_02	sld0007
sam0020	ILC	574	0.00588464456336758	SBRT_4h	4	Mutter_02	sld0007
sam0020	T cells	104	0.00106620737733489	SBRT_4h	4	Mutter_02	sld0007
sam0020	Mast cells	71	0.00072789157491132	SBRT_4h	4	Mutter_02	sld0007
sam0020	DC	60	0.00061511964077013	SBRT_4h	4	Mutter_02	sld0007
sam0020	NK cells	51	0.00052285169465461	SBRT_4h	4	Mutter_02	sld0007
sam0020	Plasma cells	11	0.00011277193414119	SBRT_4h	4	Mutter_02	sld0007
sam0020	Neutrophils	10	0.000102519940128355	SBRT_4h	4	Mutter_02	sld0007
sam0020	Epithelial cells	9	9.22679461155195e-05	SBRT_4h	4	Mutter_02	sld0007
sam0021	Tumor	48440	0.48272013393391	Control	4	Mutter_02	sld0008
sam0021	Fibroblast	21070	0.209969306812293	Control	4	Mutter_02	sld0008
sam0021	SmoothMuscle	15365	0.153117152309961	Control	4	Mutter_02	sld0008
sam0021	unassigned	10023	0.0998824092159286	Control	4	Mutter_02	sld0008
sam0021	Macrophages	2610	0.0260094869852912	Control	4	Mutter_02	sld0008
sam0021	Adipocyte	1139	0.0113505002590983	Control	4	Mutter_02	sld0008
sam0021	Endothelial	903	0.00899868457766971	Control	4	Mutter_02	sld0008
sam0021	ILC	413	0.0041156774425001	Control	4	Mutter_02	sld0008
sam0021	T cells	119	0.00118587316139833	Control	4	Mutter_02	sld0008
sam0021	DC	105	0.00104635867182206	Control	4	Mutter_02	sld0008
sam0021	Plasma cells	47	0.000468370072148922	Control	4	Mutter_02	sld0008
sam0021	Epithelial cells	45	0.000448439430780882	Control	4	Mutter_02	sld0008
sam0021	NK cells	40	0.000398612827360785	Control	4	Mutter_02	sld0008
sam0021	Mast cells	25	0.00024913301710049	Control	4	Mutter_02	sld0008
sam0021	Neutrophils	4	3.98612827360785e-05	Control	4	Mutter_02	sld0008
sam0022	Tumor	110331	0.580555029361622	MBRT_4h	4	Mutter_02	sld0008
sam0022	Fibroblast	40132	0.211172149607459	MBRT_4h	4	Mutter_02	sld0008
sam0022	unassigned	19892	0.104670497358506	MBRT_4h	4	Mutter_02	sld0008
sam0022	Macrophages	8722	0.0458946349266486	MBRT_4h	4	Mutter_02	sld0008
sam0022	SmoothMuscle	3371	0.0177379975163646	MBRT_4h	4	Mutter_02	sld0008
sam0022	Endothelial	3286	0.0172907326724338	MBRT_4h	4	Mutter_02	sld0008
sam0022	Adipocyte	2919	0.0153596009345204	MBRT_4h	4	Mutter_02	sld0008
sam0022	ILC	721	0.00379385826440193	MBRT_4h	4	Mutter_02	sld0008
sam0022	DC	173	0.000910315505882848	MBRT_4h	4	Mutter_02	sld0008
