sample_id	cell_type	condition	slide_id	n_cells	total_counts	mean_libsize	frac_genes_with_count_gt_5
sam0006	T cells	SBRT_4h	sld0004	160	8936	55.9	0.6011
sam0007	T cells	SBRT_day2	sld0002	122	6491	53.2	0.3884
sam0008	T cells	SBRT_day6	sld0002	1858	103002	55.4	0.9979
sam0012	T cells	Control	sld0005	322	20348	63.2	0.5621
sam0013	T cells	MBRT_day2	sld0005	300	19981	66.6	0.5916
sam0014	T cells	SBRT_day2	sld0005	561	39729	70.8	0.7495
sam0015	T cells	Control	sld0006	8030	521819	65	1
sam0016	T cells	MBRT_day2	sld0006	247	16364	66.3	0.4842
sam0017	T cells	SBRT_day2	sld0006	89	6204	69.7	0.2547
sam0018	T cells	Control	sld0007	60	3985	66.4	0.1758
sam0019	T cells	MBRT_4h	sld0007	74	5864	79.2	0.2779
sam0020	T cells	SBRT_4h	sld0007	104	6812	65.5	0.3021
sam0021	T cells	Control	sld0008	119	7513	63.1	0.3547
sam0022	T cells	MBRT_4h	sld0008	153	9912	64.8	0.4042
sam0023	T cells	SBRT_4h	sld0008	463	32517	70.2	0.6937
sam0001	Tumor	Control	sld0002	56946	8818905	154.9	1
sam0002	Tumor	MBRT_1h	sld0004	14735	2183518	148.2	1
sam0003	Tumor	MBRT_4h	sld0004	57039	6778961	118.8	1
sam0004	Tumor	MBRT_day2	sld0001	29144	3138787	107.7	1
sam0005	Tumor	MBRT_day6	sld0001	12662	911537	72	1
sam0006	Tumor	SBRT_4h	sld0004	61788	7521610	121.7	1
sam0007	Tumor	SBRT_day2	sld0002	28583	3262757	114.2	1
sam0008	Tumor	SBRT_day6	sld0002	16785	1743274	103.9	1
sam0012	Tumor	Control	sld0005	171054	42357684	247.6	1
sam0013	Tumor	MBRT_day2	sld0005	86077	21697065	252.1	1
sam0014	Tumor	SBRT_day2	sld0005	227302	45127466	198.5	1
sam0015	Tumor	Control	sld0006	108046	23154679	214.3	1
