cell_type	pathway_name	dataset	pearson_r	n_samples
Epithelial cells	TypeII_interferon	Mutter_01	0.9657	8
Epithelial cells	TypeI_interferon	Mutter_01	0.9732	8
Fibroblast	DNA_Damage_Repair	Mutter_01	0.7022	8
Fibroblast	HALLMARK_ADIPOGENESIS	Mutter_01	0.9559	8
Fibroblast	HALLMARK_ALLOGRAFT_REJECTION	Mutter_01	0.9986	8
Fibroblast	HALLMARK_ANDROGEN_RESPONSE	Mutter_01	0.9526	8
Fibroblast	HALLMARK_ANGIOGENESIS	Mutter_01	0.9686	8
Fibroblast	HALLMARK_APICAL_JUNCTION	Mutter_01	0.9538	8
Fibroblast	HALLMARK_APICAL_SURFACE	Mutter_01	0.7518	8
Fibroblast	HALLMARK_APOPTOSIS	Mutter_01	0.9984	8
Fibroblast	HALLMARK_BILE_ACID_METABOLISM	Mutter_01	0.8856	8
Fibroblast	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Mutter_01	0.7395	8
Fibroblast	HALLMARK_COAGULATION	Mutter_01	0.8743	8
Fibroblast	HALLMARK_COMPLEMENT	Mutter_01	0.6746	8
Fibroblast	HALLMARK_DNA_REPAIR	Mutter_01	0.7433	8
Fibroblast	HALLMARK_E2F_TARGETS	Mutter_01	0.8242	8
Fibroblast	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Mutter_01	0.9946	8
Fibroblast	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.9787	8
Fibroblast	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.8942	8
Fibroblast	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.9951	8
Fibroblast	HALLMARK_G2M_CHECKPOINT	Mutter_01	0.8334	8
Fibroblast	HALLMARK_GLYCOLYSIS	Mutter_01	0.9252	8
Fibroblast	HALLMARK_HEDGEHOG_SIGNALING	Mutter_01	0.8924	8
Fibroblast	HALLMARK_HEME_METABOLISM	Mutter_01	0.6979	8
Fibroblast	HALLMARK_HYPOXIA	Mutter_01	0.933	8
Fibroblast	HALLMARK_IL2_STAT5_SIGNALING	Mutter_01	0.9725	8
Fibroblast	HALLMARK_IL6_JAK_STAT3_SIGNALING	Mutter_01	0.9921	8
Fibroblast	HALLMARK_INFLAMMATORY_RESPONSE	Mutter_01	0.9672	8
Fibroblast	HALLMARK_INTERFERON_ALPHA_RESPONSE	Mutter_01	0.7219	8
Fibroblast	HALLMARK_INTERFERON_GAMMA_RESPONSE	Mutter_01	0.954	8
Fibroblast	HALLMARK_KRAS_SIGNALING_DN	Mutter_01	0.6287	8
Fibroblast	HALLMARK_KRAS_SIGNALING_UP	Mutter_01	0.9327	8
Fibroblast	HALLMARK_MITOTIC_SPINDLE	Mutter_01	0.9933	8
Fibroblast	HALLMARK_MTORC1_SIGNALING	Mutter_01	0.9448	8
Fibroblast	HALLMARK_MYC_TARGETS_V1	Mutter_01	0.897	8
Fibroblast	HALLMARK_MYC_TARGETS_V2	Mutter_01	0.8028	8
Fibroblast	HALLMARK_MYOGENESIS	Mutter_01	0.9763	8
Fibroblast	HALLMARK_NOTCH_SIGNALING	Mutter_01	0.7941	8
Fibroblast	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Mutter_01	-0.5534	8
Fibroblast	HALLMARK_P53_PATHWAY	Mutter_01	0.9823	8
Fibroblast	HALLMARK_PANCREAS_BETA_CELLS	Mutter_01	0.8124	8
Fibroblast	HALLMARK_PEROXISOME	Mutter_01	0.9934	8
Fibroblast	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Mutter_01	0.0296	8
Fibroblast	HALLMARK_PROTEIN_SECRETION	Mutter_01	0.844	8
Fibroblast	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Mutter_01	0.9943	8
Fibroblast	HALLMARK_SPERMATOGENESIS	Mutter_01	0.9653	8
Fibroblast	HALLMARK_TGF_BETA_SIGNALING	Mutter_01	0.6074	8
Fibroblast	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mutter_01	0.8507	8
Fibroblast	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mutter_01	0.0573	8
Fibroblast	HALLMARK_UV_RESPONSE_DN	Mutter_01	0.989	8
Fibroblast	HALLMARK_UV_RESPONSE_UP	Mutter_01	0.7036	8
Fibroblast	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Mutter_01	0.0468	8
Fibroblast	HALLMARK_XENOBIOTIC_METABOLISM	Mutter_01	0.9959	8
Fibroblast	STING	Mutter_01	0.9857	8
Fibroblast	TypeII_interferon	Mutter_01	0.9238	8
Fibroblast	TypeI_interferon	Mutter_01	0.6741	8
ILC	DNA_Damage_Repair	Mutter_01	0.9665	8
ILC	HALLMARK_ADIPOGENESIS	Mutter_01	0.8999	8
ILC	HALLMARK_ALLOGRAFT_REJECTION	Mutter_01	0.9981	8
ILC	HALLMARK_ANDROGEN_RESPONSE	Mutter_01	0.8694	8
ILC	HALLMARK_ANGIOGENESIS	Mutter_01	0.982	8
ILC	HALLMARK_APICAL_JUNCTION	Mutter_01	0.537	8
ILC	HALLMARK_APICAL_SURFACE	Mutter_01	0.8222	8
ILC	HALLMARK_APOPTOSIS	Mutter_01	0.9429	8
ILC	HALLMARK_BILE_ACID_METABOLISM	Mutter_01	0.9415	8
ILC	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Mutter_01	0.5668	8
ILC	HALLMARK_COAGULATION	Mutter_01	0.5873	8
ILC	HALLMARK_COMPLEMENT	Mutter_01	0.9784	8
ILC	HALLMARK_DNA_REPAIR	Mutter_01	0.8397	8
ILC	HALLMARK_E2F_TARGETS	Mutter_01	0.9653	8
ILC	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Mutter_01	0.9979	8
ILC	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.9374	8
ILC	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.9676	8
ILC	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.9961	8
ILC	HALLMARK_G2M_CHECKPOINT	Mutter_01	0.9157	8
ILC	HALLMARK_GLYCOLYSIS	Mutter_01	0.9059	8
ILC	HALLMARK_HEDGEHOG_SIGNALING	Mutter_01	0.7459	8
ILC	HALLMARK_HEME_METABOLISM	Mutter_01	0.6538	8
ILC	HALLMARK_HYPOXIA	Mutter_01	0.8174	8
ILC	HALLMARK_IL2_STAT5_SIGNALING	Mutter_01	0.987	8
ILC	HALLMARK_IL6_JAK_STAT3_SIGNALING	Mutter_01	0.9937	8
ILC	HALLMARK_INFLAMMATORY_RESPONSE	Mutter_01	0.9902	8
ILC	HALLMARK_INTERFERON_ALPHA_RESPONSE	Mutter_01	0.8102	8
ILC	HALLMARK_INTERFERON_GAMMA_RESPONSE	Mutter_01	0.9854	8
ILC	HALLMARK_KRAS_SIGNALING_DN	Mutter_01	0.9283	8
ILC	HALLMARK_KRAS_SIGNALING_UP	Mutter_01	0.9285	8
ILC	HALLMARK_MITOTIC_SPINDLE	Mutter_01	0.9884	8
ILC	HALLMARK_MTORC1_SIGNALING	Mutter_01	0.9127	8
ILC	HALLMARK_MYC_TARGETS_V1	Mutter_01	0.9525	8
ILC	HALLMARK_MYC_TARGETS_V2	Mutter_01	0.9908	8
ILC	HALLMARK_MYOGENESIS	Mutter_01	0.997	8
ILC	HALLMARK_NOTCH_SIGNALING	Mutter_01	0.9841	8
ILC	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Mutter_01	0.9402	8
ILC	HALLMARK_P53_PATHWAY	Mutter_01	0.5616	8
ILC	HALLMARK_PANCREAS_BETA_CELLS	Mutter_01	0.6837	8
ILC	HALLMARK_PEROXISOME	Mutter_01	0.9898	8
ILC	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Mutter_01	0.9511	8
ILC	HALLMARK_PROTEIN_SECRETION	Mutter_01	-0.0687	8
ILC	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Mutter_01	0.9929	8
ILC	HALLMARK_SPERMATOGENESIS	Mutter_01	0.8055	8
ILC	HALLMARK_TGF_BETA_SIGNALING	Mutter_01	0.8426	8
ILC	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mutter_01	0.9849	8
ILC	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mutter_01	0.3457	8
ILC	HALLMARK_UV_RESPONSE_DN	Mutter_01	0.9937	8
ILC	HALLMARK_UV_RESPONSE_UP	Mutter_01	0.9186	8
ILC	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Mutter_01	0.8926	8
ILC	HALLMARK_XENOBIOTIC_METABOLISM	Mutter_01	0.9824	8
ILC	STING	Mutter_01	0.959	8
ILC	TypeII_interferon	Mutter_01	0.9695	8
ILC	TypeI_interferon	Mutter_01	0.797	8
Macrophages	DNA_Damage_Repair	Mutter_01	0.9744	8
Macrophages	HALLMARK_ADIPOGENESIS	Mutter_01	0.9909	8
Macrophages	HALLMARK_ALLOGRAFT_REJECTION	Mutter_01	0.9978	8
Macrophages	HALLMARK_ANDROGEN_RESPONSE	Mutter_01	0.9431	8
Macrophages	HALLMARK_ANGIOGENESIS	Mutter_01	0.9949	8
Macrophages	HALLMARK_APICAL_JUNCTION	Mutter_01	0.5907	8
Macrophages	HALLMARK_APICAL_SURFACE	Mutter_01	0.9203	8
Macrophages	HALLMARK_APOPTOSIS	Mutter_01	0.9601	8
Macrophages	HALLMARK_BILE_ACID_METABOLISM	Mutter_01	0.9569	8
Macrophages	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Mutter_01	0.8332	8
Macrophages	HALLMARK_COAGULATION	Mutter_01	0.984	8
Macrophages	HALLMARK_COMPLEMENT	Mutter_01	0.9911	8
Macrophages	HALLMARK_DNA_REPAIR	Mutter_01	0.9636	8
Macrophages	HALLMARK_E2F_TARGETS	Mutter_01	0.9124	8
Macrophages	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Mutter_01	0.9982	8
Macrophages	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.9872	8
Macrophages	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.9864	8
Macrophages	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.9394	8
