sample_id	cell_type	pathway_name	pathway_source	tier	score_type	mean	sd	median	n_cells	condition	timepoint_h	dataset	slide_id	n_set_genes	n_panel_genes	panel_coverage_frac
sam0007	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	UCell	0.522386044517104	0.0308543985913822	0.518909795586673	1570	SBRT_day2	48	Mutter_01	sld0002	112	17	0.1518
sam0008	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	UCell	0.516946515383722	0.0270974779781692	0.51628430330687	3185	SBRT_day6	144	Mutter_01	sld0002	112	17	0.1518
sam0001	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	AMS	-0.0027359348892492	0.234715270310631	-0.056050442528634	1393	Control	0	Mutter_01	sld0002	36	19	0.5278
sam0002	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	AMS	0.000547244959518539	0.2382545449363	-0.0603734045784782	678	MBRT_1h	1	Mutter_01	sld0004	36	19	0.5278
sam0003	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	AMS	-0.0180399518844911	0.226664891116635	-0.0928412871727378	3003	MBRT_4h	4	Mutter_01	sld0004	36	19	0.5278
sam0004	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	AMS	0.00141633870616241	0.23178985871101	-0.0753414831035244	3027	MBRT_day2	48	Mutter_01	sld0001	36	19	0.5278
sam0005	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	AMS	-0.0348854866602779	0.216723459852281	-0.113012224655287	3757	MBRT_day6	144	Mutter_01	sld0001	36	19	0.5278
sam0006	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	AMS	-0.0131503380565615	0.232511899688338	-0.0828743068223484	2618	SBRT_4h	4	Mutter_01	sld0004	36	19	0.5278
sam0007	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	AMS	-0.0117955246058334	0.229604453096562	-0.0941768538794054	1570	SBRT_day2	48	Mutter_01	sld0002	36	19	0.5278
sam0008	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	AMS	-0.0420991022425866	0.209909733504451	-0.114768112635413	3185	SBRT_day6	144	Mutter_01	sld0002	36	19	0.5278
sam0001	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.503798789178656	0.0214458192054527	0.498712206047033	1393	Control	0	Mutter_01	sld0002	36	19	0.5278
sam0002	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.504781494547892	0.0221208832800314	0.498670212765957	678	MBRT_1h	1	Mutter_01	sld0004	36	19	0.5278
sam0003	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.501827875372108	0.0208715360083419	0.49468085106383	3003	MBRT_4h	4	Mutter_01	sld0004	36	19	0.5278
sam0004	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.503715774157997	0.0210611576686571	0.495212765957447	3027	MBRT_day2	48	Mutter_01	sld0001	36	19	0.5278
sam0005	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.501125007116241	0.0194982847856176	0.493617021276596	3757	MBRT_day6	144	Mutter_01	sld0001	36	19	0.5278
sam0006	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.502578656933607	0.0214487140638146	0.495212765957447	2618	SBRT_4h	4	Mutter_01	sld0004	36	19	0.5278
sam0007	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.502188179827533	0.0205186350927898	0.494148936170213	1570	SBRT_day2	48	Mutter_01	sld0002	36	19	0.5278
sam0008	Adipocyte	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	exploratory	UCell	0.500684198220592	0.01883992411621	0.493617021276596	3185	SBRT_day6	144	Mutter_01	sld0002	36	19	0.5278
sam0001	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	AMS	-0.0284449687673896	0.15416451861176	-0.04030737791872	1393	Control	0	Mutter_01	sld0002	199	38	0.191
sam0002	Adipocyte	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	exploratory	AMS	-0.0280035369773263	0.158207347002406	-0.0421587435708329	678	MBRT_1h	1	Mutter_01	sld0004	199	38	0.191
