"","a","b","B.cell","Blood.endothelial","BM.Neutrophil","CD8.T.cell","Colon.Treg.Nrplo","Dendritic","DN2a","DN2b","DN3","DN4","Fibroblastic.reticular","GC_centroblasts","GC_centrocyes","gdT","ILC","ISP","Ly6Chi.blood.monocytes","Ly6Clo.blood.monocytes","Lymphatic.endothelial","Macrophage","Memory.B","Microglia","NK","NKT","PerC.macrophage","Pericyte","Plasma","Plasmablast","small.peritoneal.macs","Spleen.CD4Act.48hrs","Spleen.LN.Naive.CD4","Spleen.Naive.CD4","Spleen.Naive.CD8","spleen.red.pulp.macs","Spleen.Treg","Stem.Prog","Thio.induced.Peritoneal.Neutrophil","Thymic.4.8.CD3lo.DP","Thymic.CD4SP","Thymic.CD8SP","Thymic.preT.DN1","tumor_epithelial"
"Dhrs2",0.0521529493544667,0.0238559965300369,0.0541083655849955,0.0412825272961833,0.0515463917525773,0.0522531160115053,0.0282373074729036,0.0387924528301887,0.00737100737100737,0.0075,0.0246062992125984,0.0125725338491296,0.0438162970106075,0.0112540192926045,0.0128865979381443,0.0287623665072397,0.0448759074793179,0.00537634408602151,0.0340293890177881,0.0503811685288641,0.0336273033627303,0.0282826602337479,0.0852878464818763,0.0424603174603175,0.0207900207900208,0.0484140770764975,0.0365769496204279,0.0277929901423877,0.0282538212135248,0.0342205323193916,0.0363243667779305,0.0209424083769634,0.0084985835694051,0.02638270820089,0,0.0422716084614561,0.0174890693316677,0.0398115494820366,0.0288135593220339,0.0541480377545951,0.0538959682473365,0.0339964744396877,0.0529997309658327,0.0683116289696139
"Dll1",0.121173857917579,0.0335068314899154,0.0323012801428997,0.0584940687832353,0.0549828178694158,0.0466008160717073,0.0410724472333143,0.0327547169811321,0.00737100737100737,0,0.0738188976377953,0.0280464216634429,0.0349867405978785,0.022508038585209,0.0154639175257732,0.0433237240385245,0.0499409083234847,0.032258064516129,0.0292785327588112,0.043572509310987,0.0688320068832007,0.0446699663103606,0.0414958176152206,0.0167989417989418,0.025987525987526,0.0393746381007527,0.032712215320911,0.0356751682052887,0.0328855951829551,0.0354879594423321,0.028863145493815,0.0240837696335079,0.0141643059490085,0.0244755244755245,0.0078125,0.0438411871722613,0.0343535290443473,0.0632576592461979,0.0318267419962335,0.0656906577832325,0.0353039481930228,0.0269453538151599,0.0436732131647386,0.148036222402227
"Dll4",0.0704059609321507,0.0106267620906528,0.0201696933611194,0.0477958528680658,0.0157093765341188,0.0142143637539299,0.0173987450085568,0.0241006289308176,0.00982800982800983,0.0075,0.0137795275590551,0.0145067698259188,0.0113006268081003,0.0112540192926045,0.00902061855670103,0.0259614754635393,0.0225561370926895,0.0161290322580645,0.0227599160313777,0.0315409683426443,0.0416577041657704,0.0205049286694672,0.0250943086763982,0.0124338624338624,0.0114345114345114,0.0276973557228334,0.0167701863354037,0.0199499295884838,0.0182955071792497,0.0190114068441065,0.0141370508541135,0.0157068062827225,0,0.0138270820089002,0.03125,0.0243641422609068,0.0274828232354778,0.0385855190654618,0.0259887005649717,0.0255106513544315,0.0361395445999582,0.0269453538151599,0.0388007054673721,0.0892371279622822
"Dmbt1",0.0601065865488504,0.0166991975710258,0.0230723429592141,0.0328498159277556,0.0449189985272459,0.0574706236482419,0.0231032515687393,0.0460377358490566,0.0196560196560197,0.005,0.0216535433070866,0.0154738878143133,0.0317321600771456,0.0868167202572347,0.0283505154639175,0.0292701303806591,0.0273172378862063,0.0161290322580645,0.021986520826428,0.0453037709497207,0.0505485050548505,0.0227093124818034,0.059373462358537,0.0387566137566138,0.0291060291060291,0.0366402882326449,0.0263630089717046,0.0271279924894383,0.0298749421028254,0.023447401774398,0.0341645395641076,0.0397905759162304,0.0339943342776204,7.66115702479339,0.0546875,0.032354724788642,0.00437226733291693,0.0773638968481375,0.0271186440677966,0.0397709009087987,0.158554418216002,0.0186351045076807,0.0486951842884046,0.146862732880553
"Dnmt1",0.16318103832065,0.0878876599436131,0.0659422447156892,0.0606022466253422,0.0645557191948945,0.0663671430801133,0.0647461494580719,0.0649056603773585,0.0638820638820639,0.0425,0.0757874015748032,0.0986460348162476,0.0646998553519769,0.0723472668810289,0.0708762886597938,0.11029941689052,0.0631099105183184,0.0806451612903226,0.0817589216661142,0.0676646880819367,0.118018211801821,0.0783180135590401,0.0506806626209611,0.0623015873015873,0.0405405405405405,0.0745994981663771,0.0652864044168392,0.0794085432639649,0.0599814729041223,0.0405576679340938,0.0610642057726291,0.0706806282722513,0.0028328611898017,0.0743801652892562,0.03125,0.0733778047301395,0.0399750156152405,0.104185034163544,0.0459510357815443,0.0766196195318664,0.0645498224357635,0.0757995467136741,0.0932950706962006,0.239703408312044
"Dnmt3a",0.0432906969781386,0.0232595966167859,0.0224769276570408,0.029420093766716,0.029945999018164,0.0312158576556891,0.0228180262407302,0.0472452830188679,0.0196560196560197,0.0075,0.0374015748031496,0.0145067698259188,0.0302254098360656,0.00321543408360129,0.0180412371134021,0.025388193670969,0.0301874050312342,0.00537634408602151,0.0322616285493316,0.0375058193668529,0.0353481035348104,0.0239986690512831,0.0275545350172216,0.030952380952381,0.0197505197505198,0.0348066653799138,0.0364389233954451,0.0259935847285245,0.0210745715609078,0.0152091254752852,0.0428038484193992,0.0267015706806283,0.0056657223796034,0.0343293070565798,0.0078125,0.0444476153105269,0.0193628981886321,0.0331992506061274,0.0143126177024482,0.036118173051635,0.0419887194485064,0.03601108033241,0.051086599109198,0.0601387417699961
"Dpp4",0.0589766754056876,0.0336694860117111,0.0316314379279547,0.0244485699002549,0.0412371134020619,0.0207585453410332,0.0231032515687393,0.0527798742138365,0.105651105651106,0.0325,0.0177165354330709,0.011605415860735,0.0398384763741562,0.0128617363344051,0.0115979381443299,0.0318580881871192,0.0324160054026676,0.0376344086021505,0.0299414429344824,0.0339851024208566,0.0459597045959705,0.0200474150480389,0.0436280137772675,0.0306878306878307,0.0197505197505198,0.0457440648523451,0.0282263630089717,0.0338170865279299,0.0294117647058824,0.0247148288973384,0.0243471431376399,0.0151832460732984,0.0028328611898017,0.0478385251112524,0.0546875,0.040238290586095,0.0449718925671455,0.0345217103813092,0.0186440677966102,0.051401186406008,0.0284102778358053,0.0274490052883405,0.0642094879383015,0.0758510395247887
"Dst",0.0820825772387992,0.121774018651052,0.0299196189342066,0.0674931562883484,0.0393961708394698,0.100827220227876,0.0467769537934969,0.0376352201257862,0.0171990171990172,0.0225,0.179133858267717,0.02321083172147,0.0742827868852459,0.0241157556270096,0.0128865979381443,0.0383935006224202,0.0675671112611852,0.021505376344086,0.0360181195448017,0.0357891061452514,0.0716283071628307,0.0823108597096868,0.0559291454813843,0.0441798941798942,0.0145530145530146,0.02959531621952,0.0342995169082126,0.0384916288530746,0.0215377489578509,0.0240811153358682,0.0398586294914589,0.0403141361256545,0.0028328611898017,0.0514939605848697,0,0.0496200906074983,0.0249843847595253,0.0713990522371611,0.027683615819209,0.0626515882060723,0.015249634426572,0.0146058927222362,0.0364391833318387,0.115303134151661
"Dusp1",0.114865621281902,0.140641943179354,0.0318547186662697,0.091155092665429,0.0618556701030928,0.0774710695890655,0.0747290359383913,0.0721006289308176,0.0147420147420147,0.01,0.0255905511811024,0.0241779497098646,0.084468418514947,0.0160771704180064,0.0322164948453608,0.0422426783725349,0.0770555461759244,0.0376344086021505,0.0606562810739145,0.10103875698324,0.0704811070481107,0.0517406313687976,0.076267016565524,0.0567460317460317,0.0114345114345114,0.0837032747860773,0.0552104899930987,0.0522609920200282,0.0488652153774896,0.0329531051964512,0.0520322010602788,0.0371727748691099,0.0056657223796034,0.0688175460902734,0.0703125,0.0910712374701245,0.0287320424734541,0.0695944456689442,0.0774011299435028,0.0458782618859764,0.0871109254230207,0.0503651473180559,0.0738349325919947,0.14557500986562
"Dusp2",0.0632281613429801,0.0255367599219258,0.037883298600774,0.0599100091249489,0.0417280314187531,0.0389863765078374,0.0453508271534512,0.0625408805031447,0.00982800982800983,0.01,0.0167322834645669,0.0222437137330754,0.0263078592092575,0.0498392282958199,0.0837628865979381,0.0466978968747953,0.0384264730710788,0.010752688172043,0.0348027842227378,0.0841916899441341,0.0442389044238904,0.0291145031817993,0.0592094472691488,0.0302910052910053,0.0654885654885655,0.141317634948208,0.0401656314699793,0.0409560319198873,0.0875405280222325,0.0621039290240811,0.0327901040644021,0.0858638743455497,0.0311614730878187,0.0206611570247934,0.0078125,0.0566831948061214,0.0368519675202998,0.0706000661229888,0.0301318267419962,0.0672101925718126,0.0369751410068937,0.0798287584991186,0.0754491375960303,0.0895486738529919
"Dusp4",0.125183220038479,0.0183799609629148,0.02917534980649,0.0347377363833737,0.0416053019145803,0.0268344890633013,0.127780946948089,0.0343647798742138,0.00737100737100737,0.0075,0.0196850393700787,0.0396518375241779,0.022269768563163,0.0192926045016077,0.0502577319587629,0.0686627792701304,0.062468343744724,0,0.0458512871505911,0.0433979283054004,0.109916110991611,0.0512415255999667,0.0372314252911268,0.0325396825396825,0.0176715176715177,0.0592228012610178,0.0451345755693582,0.0500899702706932,0.0449282075034738,0.0481622306717364,0.0292558413508737,0.0471204188481675,0.0141643059490085,0.0511760966306421,0.0390625,0.0417008525666179,0.0493441599000625,0.085147123649989,0.0322033898305085,0.0540311504631659,0.0248589931063296,0.0579199194157643,0.0459749499297522,0.175628803456082
"Dusp5",0.153647087614976,0.0812188245499892,0.0401905328966954,0.053648406280482,0.0587874324987727,0.0378380788869317,0.101540216771249,0.0634465408805031,0.0196560196560197,0.025,0.0275590551181102,0.00870406189555126,0.0322444551591128,0.0498392282958199,0.0283505154639175,0.0626515101880364,0.0562215093702516,0.00537634408602151,0.0409899458623357,0.0863303072625698,0.0823116082311608,0.0528220272012644,0.0273905199278334,0.0216931216931217,0.0550935550935551,0.11326642218362,0.0522429261559696,0.0583242059145674,0.0632237146827235,0.0405576679340938,0.0280777537796976,0.0712041884816754,0.0226628895184136,0.0602352193261284,0,0.0614632754253915,0.0487195502810743,0.0973247740797884,0.0630885122410546,0.0523655065602992,0.0651765197409651,0.0760513724502644,0.101276417660598,0.198163956217418
"Dusp6",0.354091762322931,0.0560615918455866,0.132033343256922,0.108649822220824,0.0661512027491409,0.0680171241276283,0.263548203080434,0.12,0.027027027027027,0.0175,0.0403543307086614,0.117021276595745,0.0528266634522662,0.0353697749196141,0.0592783505154639,0.288229705824543,0.144690190781698,0.010752688172043,0.410230913711192,0.170798417132216,0.530364953036495,0.289148608742669,0.0811874692471707,0.115873015873016,0.0353430353430353,0.170687769413884,0.259558316080055,0.174053356282272,0.107225567392311,0.0779467680608365,0.166306695464363,0.0712041884816754,0.0254957507082153,0.154799745708837,0.0234375,0.156565476402811,0.0343535290443473,0.27405223716112,0.129566854990584,0.0540895941088805,0.153958637977857,0.115336187358348,0.152482587510836,0.649562797266704
